baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,gene_symbol,chr,DE_comparison
39.42,1.67,0.7,2.4,0.01652,0.10211,ENSG00000198225,FKBP1C,6,Bmet_Bpri
602.72,1.37,0.33,4.15,3e-05,0.00089,ENSG00000198324,FAM109A,12,Bmet_Bpri
84.51,6.1,0.93,6.54,0,0,ENSG00000198336,MYL4,17,Bmet_Bpri
276.54,1.33,0.4,3.3,0.00098,0.01332,ENSG00000198353,HOXC4,12,Bmet_Bpri
9463.35,2.33,0.65,3.57,0.00035,0.00585,ENSG00000198467,TPM2,9,Bmet_Bpri
274.49,2.21,0.35,6.37,0,0,ENSG00000198542,ITGBL1,13,Bmet_Bpri
315.54,-1.24,0.33,-3.76,0.00017,0.00331,ENSG00000198691,ABCA4,1,Bmet_Bpri
38.14,1.56,0.71,2.2,0.02784,0.14431,ENSG00000198719,DLL1,6,Bmet_Bpri
106.64,-2.29,0.5,-4.6,0,0.00015,ENSG00000198743,SLC5A3,21,Bmet_Bpri
12.98,4.68,1.51,3.09,0.00199,,ENSG00000198796,ALPK2,18,Bmet_Bpri
7.83,6.96,2.67,2.61,0.00918,,ENSG00000198797,BRINP2,1,Bmet_Bpri
117,1.29,0.47,2.72,0.00658,0.05512,ENSG00000198838,RYR3,15,Bmet_Bpri
27.03,4.9,1.12,4.38,1e-05,0.00036,ENSG00000198842,DUSP27,1,Bmet_Bpri
41.66,2.32,0.78,2.98,0.00292,0.03071,ENSG00000198848,CES1,16,Bmet_Bpri
6.88,6.78,2.28,2.98,0.00291,,ENSG00000198881,ASB12,X,Bmet_Bpri
253.08,1.51,0.33,4.51,1e-05,0.00022,ENSG00000198892,SHISA4,1,Bmet_Bpri
287.14,1.81,0.41,4.4,1e-05,0.00035,ENSG00000203883,SOX18,20,Bmet_Bpri
84.13,-1.48,0.51,-2.91,0.00357,0.0358,ENSG00000203943,SAMD13,1,Bmet_Bpri
525.23,1.35,0.39,3.45,0.00056,0.00859,ENSG00000204176,SYT15,10,Bmet_Bpri
4653.3,1.32,0.23,5.8,0,0,ENSG00000204262,COL5A2,2,Bmet_Bpri
249.54,1.57,0.39,4.02,6e-05,0.00139,ENSG00000204291,COL15A1,9,Bmet_Bpri
