baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,DE_comparison,gene_symbol,chr
1.01,-2.01,2.24,-0.9,0.36974,,ENSG00000101197,Bmet_Apri,BIRC7,20
0.23,2,3.91,0.51,0.60859,,ENSG00000101200,Bmet_Apri,AVP,20
0.17,-1.52,4.08,-0.37,0.70994,,ENSG00000101204,Bmet_Apri,CHRNA4,20
941.91,4.84,0.61,7.91,0,0,ENSG00000101210,Bmet_Apri,EEF1A2,20
14.6,1.35,0.81,1.67,0.09494,0.19427,ENSG00000101230,Bmet_Apri,ISM1,20
801.59,-6.88,1.27,-5.43,0,0,ENSG00000101246,Bmet_Apri,ARFRP1,20
531,-1.23,0.29,-4.2,3e-05,0.00025,ENSG00000101265,Bmet_Apri,RASSF2,20
2.66,-4.96,2.51,-1.97,0.04838,0.11624,ENSG00000101280,Bmet_Apri,ANGPT4,20
12.92,-2.39,1.66,-1.44,0.14938,0.27315,ENSG00000101292,Bmet_Apri,PROKR2,20
94.09,5.18,0.48,10.73,0,0,ENSG00000101306,Bmet_Apri,MYLK2,20
6.74,-1.05,0.82,-1.28,0.2013,0.33978,ENSG00000101323,Bmet_Apri,HAO1,20
11.38,1.95,1.15,1.7,0.08937,0.18587,ENSG00000101331,Bmet_Apri,CCM2L,20
172.86,1.11,0.77,1.44,0.15005,0.27394,ENSG00000101336,Bmet_Apri,HCK,20
7.11,-1.44,0.86,-1.68,0.09319,0.19163,ENSG00000101342,Bmet_Apri,TLDC2,20
330.77,1.92,0.46,4.17,3e-05,0.00028,ENSG00000101400,Bmet_Apri,SNTA1,20
0.35,1.48,3.91,0.38,0.70455,,ENSG00000101405,Bmet_Apri,OXT,20
51.08,-1.58,0.52,-3.06,0.00222,0.0099,ENSG00000101417,Bmet_Apri,PXMP4,20
3.68,1.01,1.35,0.75,0.45202,0.59934,ENSG00000101425,Bmet_Apri,BPI,20
0.15,1.41,3.95,0.36,0.72192,,ENSG00000101438,Bmet_Apri,SLC32A1,20
588.03,-4.3,0.66,-6.49,0,0,ENSG00000101439,Bmet_Apri,CST3,20
7.16,1.46,1.11,1.31,0.1902,0.32555,ENSG00000101445,Bmet_Apri,PPP1R16B,20
0.15,1.38,3.95,0.35,0.72726,,ENSG00000101463,Bmet_Apri,SYNDIG1,20
1329.11,10.43,0.56,18.52,0,0,ENSG00000101470,Bmet_Apri,TNNC2,20
270.96,1.53,0.35,4.39,1e-05,0.00012,ENSG00000101489,Bmet_Apri,CELF4,18
1044.11,-1.14,0.21,-5.31,0,0,ENSG00000101544,Bmet_Apri,ADNP2,18
94.63,2.47,0.3,8.31,0,0,ENSG00000101605,Bmet_Apri,MYOM1,18
2028.64,-1.02,0.14,-7.04,0,0,ENSG00000101654,Bmet_Apri,RNMT,18
925.66,-3.55,0.3,-11.85,0,0,ENSG00000101670,Bmet_Apri,LIPG,18
2853.58,1.53,0.58,2.66,0.00783,0.02729,ENSG00000101745,Bmet_Apri,ANKRD12,18
3.83,-1.9,1.65,-1.15,0.25009,0.39745,ENSG00000101746,Bmet_Apri,NOL4,18
192.44,-1.26,0.67,-1.89,0.05873,0.13521,ENSG00000101850,Bmet_Apri,GPR143,X
532.14,1.07,0.37,2.89,0.00387,0.01548,ENSG00000101882,Bmet_Apri,NKAP,X
61.8,2.35,1.06,2.21,0.02742,0.07458,ENSG00000101892,Bmet_Apri,ATP1B4,X
15.18,1.2,0.69,1.74,0.08243,0.17469,ENSG00000101916,Bmet_Apri,TLR8,X
21.84,-8.01,1.54,-5.2,0,0,ENSG00000101955,Bmet_Apri,SRPX,X
855.1,-1.02,0.22,-4.55,1e-05,6e-05,ENSG00000101974,Bmet_Apri,ATP11C,X
3.5,-3.84,1.79,-2.14,0.03213,0.08451,ENSG00000101977,Bmet_Apri,MCF2,X
1.63,1.73,1.62,1.07,0.28604,0.43766,ENSG00000101981,Bmet_Apri,F9,X
122.36,1.18,0.56,2.11,0.03475,0.08983,ENSG00000102003,Bmet_Apri,SYP,X
1.34,1.75,1.98,0.89,0.37604,0.52773,ENSG00000102021,Bmet_Apri,LUZP4,X
37.6,-1.9,0.54,-3.53,0.00041,0.00249,ENSG00000102043,Bmet_Apri,MTMR8,X
0.55,3.23,3.86,0.84,0.40276,,ENSG00000102076,Bmet_Apri,OPN1LW,X
568.23,-1.85,0.63,-2.95,0.0032,0.01335,ENSG00000102125,Bmet_Apri,TAFAZZIN,X
470.34,-12.43,3.49,-3.56,0.00038,0.00229,ENSG00000102221,Bmet_Apri,JADE3,X
2850.05,1.34,0.2,6.73,0,0,ENSG00000102265,Bmet_Apri,TIMP1,X
8.41,1.31,0.82,1.6,0.10951,0.21689,ENSG00000102271,Bmet_Apri,KLHL4,X
129.7,-2.11,0.57,-3.7,0.00022,0.00147,ENSG00000102290,Bmet_Apri,PCDH11X,X
6238.02,-1.34,0.34,-3.93,8e-05,0.00066,ENSG00000102317,Bmet_Apri,RBM3,X
19.98,1.21,0.65,1.85,0.06473,0.14511,ENSG00000102466,Bmet_Apri,FGF14,13
16.11,1.06,1.04,1.01,0.31017,0.46321,ENSG00000102468,Bmet_Apri,HTR2A,13
209.11,1.51,0.32,4.67,0,4e-05,ENSG00000102524,Bmet_Apri,TNFSF13B,13
2,-1.27,1.84,-0.69,0.48845,0.63081,ENSG00000102683,Bmet_Apri,SGCG,13
553.68,-2.06,0.46,-4.47,1e-05,9e-05,ENSG00000102743,Bmet_Apri,SLC25A15,13
45.23,1.4,0.57,2.48,0.01322,0.0416,ENSG00000102755,Bmet_Apri,FLT1,13
70.75,1.71,0.9,1.91,0.0567,0.13164,ENSG00000102802,Bmet_Apri,MEDAG,13
643.53,-1.05,0.43,-2.47,0.01355,0.04238,ENSG00000102805,Bmet_Apri,CLN5,13
46.04,1.32,0.6,2.19,0.0285,0.0768,ENSG00000102854,Bmet_Apri,MSLN,16
453.4,1.13,0.72,1.56,0.11899,0.23119,ENSG00000102879,Bmet_Apri,CORO1A,16
1738.26,-2.41,1.05,-2.3,0.02155,0.06143,ENSG00000102901,Bmet_Apri,CENPT,16
0.16,1.43,3.95,0.36,0.71667,,ENSG00000102924,Bmet_Apri,CBLN1,16
67.86,2.85,0.77,3.7,0.00022,0.00147,ENSG00000102935,Bmet_Apri,ZNF423,16
262.73,-1.15,0.23,-4.93,0,1e-05,ENSG00000102962,Bmet_Apri,CCL22,16
1.66,-1.03,2.23,-0.46,0.64604,0.75855,ENSG00000103023,Bmet_Apri,PRSS54,16
1768.16,1.1,0.3,3.67,0.00024,0.00161,ENSG00000103024,Bmet_Apri,NME3,16
128.56,-1.13,0.31,-3.61,0.00031,0.00194,ENSG00000103056,Bmet_Apri,SMPD3,16
1958.12,-1.85,0.36,-5.16,0,0,ENSG00000103148,Bmet_Apri,NPRL3,16
2762.07,-1.4,0.41,-3.45,0.00057,0.00324,ENSG00000103168,Bmet_Apri,TAF1C,16
2447.88,-2.63,0.28,-9.47,0,0,ENSG00000103222,Bmet_Apri,ABCC1,16
1178.4,1.13,0.33,3.41,0.00065,0.0036,ENSG00000103254,Bmet_Apri,ANTKMT,16
1498.61,1.57,0.45,3.48,5e-04,0.0029,ENSG00000103260,Bmet_Apri,METRN,16
