chr,cell_id,mean_reads,mean_copy,clone_id
10,SA919X4XB40509-A98217A-R13-C55,152.48,3.02,A
10,SA919X4XB40509-A98217A-R13-C59,166.43,3.05,A
10,SA919X4XB40509-A98217A-R13-C63,177.68,3.16,A
10,SA919X4XB40509-A98217A-R13-C65,135.57,3.03,A
10,SA919X4XB40509-A98217A-R14-C13,201.79,3,A
10,SA919X4XB40509-A98217A-R14-C17,178.71,2.94,A
10,SA919X4XB40509-A98217A-R14-C19,154.9,2.94,A
10,SA919X4XB40509-A98217A-R14-C20,163.65,3.15,A
10,SA919X4XB40509-A98217A-R14-C24,208,3.1,A
10,SA919X4XB40509-A98217A-R14-C25,185.38,3.1,A
10,SA919X4XB40509-A98217A-R14-C36,105.06,3.02,A
10,SA919X4XB40509-A98217A-R15-C10,135.4,3.07,A
10,SA919X4XB40509-A98217A-R15-C12,149.65,2.95,A
10,SA919X4XB40509-A98217A-R15-C13,196.75,3.01,A
10,SA919X4XB40509-A98217A-R15-C14,180.51,3.01,A
10,SA919X4XB40509-A98217A-R15-C17,185.22,3.05,A
10,SA919X4XB40509-A98217A-R15-C18,147.44,3.07,A
10,SA919X4XB40509-A98217A-R15-C19,154.87,2.97,A
10,SA919X4XB40509-A98217A-R15-C20,162.84,3.06,A
10,SA919X4XB40509-A98217A-R15-C22,167.63,2.93,A
10,SA919X4XB40509-A98217A-R15-C23,160.49,3,A
10,SA919X4XB40509-A98217A-R15-C24,184.78,2.87,A
10,SA919X4XB40509-A98217A-R15-C25,175.21,3.09,A
10,SA919X4XB40509-A98217A-R15-C26,161.35,3,A
10,SA919X4XB40509-A98217A-R15-C28,152.16,2.94,A
10,SA919X4XB40509-A98217A-R15-C32,174.16,2.96,A
10,SA919X4XB40509-A98217A-R15-C35,184.73,3.09,A
10,SA919X4XB40509-A98217A-R15-C37,143.27,2.94,A
10,SA919X4XB40509-A98217A-R15-C38,148.84,2.93,A
10,SA919X4XB40509-A98217A-R15-C39,174.17,3.01,A
10,SA919X4XB40509-A98217A-R15-C40,162.41,3.03,A
10,SA919X4XB40509-A98217A-R15-C42,178.32,2.95,A
10,SA919X4XB40509-A98217A-R15-C43,183.7,3.01,A
10,SA919X4XB40509-A98217A-R15-C46,154.94,2.92,A
10,SA919X4XB40509-A98217A-R15-C49,148.29,3.05,A
10,SA919X4XB40509-A98217A-R15-C50,145.48,3.01,A
10,SA919X4XB40509-A98217A-R15-C52,136.7,3.05,A
10,SA919X4XB40509-A98217A-R15-C58,154.37,2.92,A
10,SA919X4XB40509-A98217A-R15-C62,153.02,3,A
10,SA919X4XB40509-A98217A-R15-C65,129.62,2.92,A
10,SA919X4XB40509-A98217A-R15-C66,175.41,3.07,A
10,SA919X4XB40509-A98217A-R15-C67,146.03,3.04,A
10,SA919X4XB40509-A98217A-R15-C68,167.92,3,A
10,SA919X4XB40509-A98217A-R15-C70,145.06,3,A
10,SA919X4XB40509-A98217A-R16-C07,154.7,2.99,A
10,SA919X4XB40509-A98217A-R16-C08,151.19,2.91,A
10,SA919X4XB40509-A98217A-R16-C09,147.02,3.01,A
10,SA919X4XB40509-A98217A-R16-C10,120,2.87,A
10,SA919X4XB40509-A98217A-R16-C13,145.75,2.84,A
10,SA919X4XB40509-A98217A-R16-C19,124.75,3.03,A
