chr,cell_id,total_reads,total_copy,clone_id
10,SA919X4XB40509-A98217A-R12-C31,10854,192.007597781148,A
10,SA919X4XB40509-A98217A-R12-C41,11007,195.680063467633,A
10,SA919X4XB40509-A98217A-R12-C43,11393,184.182278630503,A
10,SA919X4XB40509-A98217A-R12-C48,8087,189.083060255105,A
10,SA919X4XB40509-A98217A-R12-C59,10248,192.666932737861,A
10,SA919X4XB40509-A98217A-R12-C66,11227,187.744695558861,A
10,SA919X4XB40509-A98217A-R12-C69,7048,178.050265771229,A
10,SA919X4XB40509-A98217A-R13-C15,10008,187.010061756873,A
10,SA919X4XB40509-A98217A-R13-C44,9924,192.763166378728,A
10,SA919X4XB40509-A98217A-R13-C55,9606,190.026679358493,A
10,SA919X4XB40509-A98217A-R13-C59,10485,191.90584878347,A
10,SA919X4XB40509-A98217A-R13-C63,11194,199.233439183073,A
10,SA919X4XB40509-A98217A-R13-C65,8541,190.70098055577,A
10,SA919X4XB40509-A98217A-R14-C13,12713,188.921871056994,A
10,SA919X4XB40509-A98217A-R14-C17,11259,185.138126248129,A
10,SA919X4XB40509-A98217A-R14-C19,9759,185.17894402248,A
10,SA919X4XB40509-A98217A-R14-C20,10310,198.297705255373,A
10,SA919X4XB40509-A98217A-R14-C24,13104,195.227171410178,A
10,SA919X4XB40509-A98217A-R14-C25,11679,195.338895081128,A
10,SA919X4XB40509-A98217A-R14-C36,6619,190.228526396381,A
10,SA919X4XB40509-A98217A-R15-C10,8530,193.482002068211,A
10,SA919X4XB40509-A98217A-R15-C12,9428,185.946007760214,A
10,SA919X4XB40509-A98217A-R15-C13,12395,189.855500214244,A
10,SA919X4XB40509-A98217A-R15-C14,11372,189.943764393693,A
10,SA919X4XB40509-A98217A-R15-C17,11669,191.849567520401,A
10,SA919X4XB40509-A98217A-R15-C18,9289,193.593982366059,A
10,SA919X4XB40509-A98217A-R15-C19,9757,186.904933165325,A
10,SA919X4XB40509-A98217A-R15-C20,10259,192.767466428674,A
10,SA919X4XB40509-A98217A-R15-C22,10561,184.853375925778,A
10,SA919X4XB40509-A98217A-R15-C23,10111,189.105450692414,A
10,SA919X4XB40509-A98217A-R15-C24,11641,180.759967069313,A
10,SA919X4XB40509-A98217A-R15-C25,11038,194.504097250115,A
10,SA919X4XB40509-A98217A-R15-C26,10165,188.75098702022,A
10,SA919X4XB40509-A98217A-R15-C28,9586,185.137601343405,A
10,SA919X4XB40509-A98217A-R15-C32,10972,186.494528156042,A
10,SA919X4XB40509-A98217A-R15-C35,11638,194.385048134875,A
10,SA919X4XB40509-A98217A-R15-C37,9026,185.218590514696,A
10,SA919X4XB40509-A98217A-R15-C38,9377,184.490670534613,A
10,SA919X4XB40509-A98217A-R15-C39,10973,189.483267646279,A
10,SA919X4XB40509-A98217A-R15-C40,10232,190.585886034182,A
10,SA919X4XB40509-A98217A-R15-C42,11234,185.934803679273,A
10,SA919X4XB40509-A98217A-R15-C43,11573,189.555073007044,A
10,SA919X4XB40509-A98217A-R15-C46,9761,183.87422399751,A
10,SA919X4XB40509-A98217A-R15-C49,9342,191.952659623627,A
10,SA919X4XB40509-A98217A-R15-C50,9165,189.943107448316,A
10,SA919X4XB40509-A98217A-R15-C52,8612,191.898691082274,A
10,SA919X4XB40509-A98217A-R15-C58,9725,183.988167046653,A
10,SA919X4XB40509-A98217A-R15-C62,9640,189.256589303573,A
10,SA919X4XB40509-A98217A-R15-C65,8166,184.270360098536,A
10,SA919X4XB40509-A98217A-R15-C66,11051,193.235648898275,A
10,SA919X4XB40509-A98217A-R15-C67,9200,191.515184663302,A
10,SA919X4XB40509-A98217A-R15-C68,10579,188.962028255238,A
10,SA919X4XB40509-A98217A-R15-C70,9139,189.251464944397,A
10,SA919X4XB40509-A98217A-R16-C07,9746,188.218747571204,A
10,SA919X4XB40509-A98217A-R16-C08,9525,183.355791569788,A
10,SA919X4XB40509-A98217A-R16-C09,9262,189.544482864678,A
10,SA919X4XB40509-A98217A-R16-C10,7560,181.080161455912,A
10,SA919X4XB40509-A98217A-R16-C13,9182,179.077885208757,A
10,SA919X4XB40509-A98217A-R16-C19,7859,190.897422523433,A
10,SA919X4XB40509-A98217A-R16-C20,8573,190.264208842374,A
10,SA919X4XB40509-A98217A-R16-C24,10494,185.553749532753,A
10,SA919X4XB40509-A98217A-R16-C25,9257,187.932806886654,A
10,SA919X4XB40509-A98217A-R16-C26,8822,189.273017626653,A
10,SA919X4XB40509-A98217A-R16-C27,9486,188.835452327837,A
10,SA919X4XB40509-A98217A-R16-C28,6377,175.148476976208,A
10,SA919X4XB40509-A98217A-R16-C29,5790,173.450730117122,A
10,SA919X4XB40509-A98217A-R16-C33,6454,189.925995097005,A
10,SA919X4XB40509-A98217A-R16-C38,7343,183.217131539213,A
10,SA919X4XB40509-A98217A-R16-C39,9383,195.384989221192,A
10,SA919X4XB40509-A98217A-R16-C41,9151,190.646279758968,A
10,SA919X4XB40509-A98217A-R16-C44,8471,196.977607998972,A
10,SA919X4XB40509-A98217A-R16-C46,9349,185.454503245844,A
10,SA919X4XB40509-A98217A-R16-C47,9143,189.889972324284,A
10,SA919X4XB40509-A98217A-R16-C48,8238,191.201079892965,A
10,SA919X4XB40509-A98217A-R16-C49,8131,188.336035713993,A
10,SA919X4XB40509-A98217A-R16-C50,7504,186.986920161566,A
10,SA919X4XB40509-A98217A-R16-C51,8709,190.842358647045,A
10,SA919X4XB40509-A98217A-R16-C52,8052,186.227011035674,A
10,SA919X4XB40509-A98217A-R16-C54,7853,186.399773660184,A
10,SA919X4XB40509-A98217A-R16-C55,11173,190.209679691822,A
10,SA919X4XB40509-A98217A-R16-C56,9222,189.581187881425,A
10,SA919X4XB40509-A98217A-R16-C58,8376,193.619923005157,A
10,SA919X4XB40509-A98217A-R16-C63,10227,192.265862364468,A
10,SA919X4XB40509-A98217A-R16-C64,9706,207.028566209915,A
10,SA919X4XB40509-A98217A-R16-C66,8282,180.323700566509,A
10,SA919X4XB40509-A98217A-R16-C68,8729,183.468976797925,A
10,SA919X4XB40509-A98217A-R17-C12,8236,187.008568670659,A
10,SA919X4XB40509-A98217A-R17-C13,10073,183.675416097648,A
10,SA919X4XB40509-A98217A-R17-C15,8954,187.880563321402,A
10,SA919X4XB40509-A98217A-R17-C19,8337,182.633800146992,A
10,SA919X4XB40509-A98217A-R17-C20,8928,190.504935099304,A
10,SA919X4XB40509-A98217A-R17-C23,9515,192.812626564686,A
10,SA919X4XB40509-A98217A-R17-C25,9456,179.43832152988,A
10,SA919X4XB40509-A98217A-R17-C27,8169,186.933763096094,A
10,SA919X4XB40509-A98217A-R17-C29,7941,192.715381114506,A
10,SA919X4XB40509-A98217A-R17-C35,12702,194.346576379361,A
10,SA919X4XB40509-A98217A-R17-C38,8713,204.343733115007,A
10,SA919X4XB40509-A98217A-R17-C39,9433,191.040926409759,A
10,SA919X4XB40509-A98217A-R17-C40,8529,181.908140312151,A
10,SA919X4XB40509-A98217A-R17-C42,12368,184.870986312412,A
10,SA919X4XB40509-A98217A-R17-C46,9181,185.547926270701,A
10,SA919X4XB40509-A98217A-R17-C47,9550,192.3855287829,A
10,SA919X4XB40509-A98217A-R17-C48,8780,189.601325907257,A
10,SA919X4XB40509-A98217A-R17-C49,8706,189.229359080279,A
10,SA919X4XB40509-A98217A-R17-C51,9794,188.573960747721,A
10,SA919X4XB40509-A98217A-R17-C52,8595,193.804639701098,A
10,SA919X4XB40509-A98217A-R17-C55,9074,189.693108224838,A
10,SA919X4XB40509-A98217A-R17-C57,9506,187.704958750255,A
10,SA919X4XB40509-A98217A-R17-C60,8528,192.251144962136,A
10,SA919X4XB40509-A98217A-R17-C61,7476,191.916641571006,A
10,SA919X4XB40509-A98217A-R17-C63,9920,186.882527778709,A
10,SA919X4XB40509-A98217A-R17-C64,7826,185.949702523393,A
10,SA919X4XB40509-A98217A-R17-C67,8476,190.632232702119,A
10,SA919X4XB40509-A98217A-R17-C69,8712,179.557913546461,A
10,SA919X4XB40509-A98217A-R17-C70,8411,187.074746957073,A
10,SA919X4XB40509-A98217A-R18-C08,9596,186.283915730163,A
10,SA919X4XB40509-A98217A-R18-C09,9317,182.956982642143,A
